iter	Passed	Remaining
474	696	770
475	698	768
476	699	766
477	700	765
478	702	763
479	703	762
480	704	760
481	705	758
482	707	757
483	708	755
484	710	753
485	711	752
486	712	750
487	713	748
488	715	747
489	716	745
490	717	744
491	719	742
492	720	740
493	721	739
494	723	737
495	724	736
496	726	735
497	727	733
498	729	732
499	730	730
500	731	728
501	733	727
502	734	725
503	735	724
504	737	722
505	738	720
506	739	719
507	741	717
508	742	716
509	744	714
510	745	713
511	746	711
512	748	710
513	749	708
514	750	707
515	752	705
516	753	704
517	755	702
518	756	701
519	757	699
520	759	698
521	760	696
522	762	695
523	763	693
524	764	691
525	766	690
526	767	689
527	769	687
528	770	686
529	772	685
530	774	683
531	775	682
532	776	680
533	778	678
534	779	677
535	781	676
536	782	675
537	784	673
538	785	672
539	787	670
540	788	668
541	789	667
542	791	665
543	792	664
544	793	662
545	795	661
546	796	659
547	797	658
548	799	656
549	800	655
550	801	653
551	803	651
552	804	650
553	805	648
554	807	647
555	808	645
556	809	644
557	811	642
558	812	641
559	814	639
560	815	638
561	816	636
562	818	634
563	819	633
564	820	631
565	821	630
566	823	628
567	824	627
568	825	625
569	827	624
570	828	622
571	830	621
572	831	619
573	832	618
574	834	616
575	835	614
576	836	613
577	837	611
578	839	610
579	840	608
580	841	607
581	843	605
582	844	604
583	846	602
584	847	601
585	848	599
586	850	598
587	851	596
588	852	594
589	854	593
590	855	592
591	856	590
592	858	589
593	859	587
594	861	586
595	863	585
596	864	583
597	866	582
598	867	580
599	869	579
600	870	577
601	871	576
602	873	574
603	874	573
604	875	571
605	877	570
606	878	568
607	879	567
608	881	565
609	882	564
610	884	562
611	885	561
612	886	559
613	888	558
614	889	556
615	890	555
616	892	553
617	893	552
618	894	550
619	896	549
620	897	547
621	898	546
622	900	544
623	901	543
624	902	541
625	904	540
626	905	538
627	906	537
628	908	535
629	910	534
630	911	533
631	913	531
632	915	530
633	916	529
634	917	527
635	919	526
636	920	524
637	921	523
638	923	521
639	925	520
640	926	518
641	927	517
642	929	515
643	930	514
644	931	512
645	933	511
646	934	509
647	935	508
648	937	506
649	938	505
650	939	503
651	940	502
652	942	500
653	943	499
654	944	497
655	946	496
656	947	494
657	948	493
658	950	491
659	951	490
660	952	488
661	953	487
662	955	485
663	956	484
664	957	482
665	959	481
666	960	479
667	961	478
668	963	476
669	964	475
670	966	473
671	967	472
672	969	470
673	970	469
674	971	467
675	973	466
676	975	465
677	976	463
678	978	462
679	979	460
680	982	460
681	984	459
682	986	457
683	988	456
684	991	455
685	992	454
686	994	453
687	995	451
688	997	450
689	998	448
690	1000	447
691	1002	446
692	1003	444
693	1004	442
694	1006	441
695	1007	440
696	1008	438
697	1010	436
698	1011	435
699	1012	434
700	1014	432
701	1015	431
702	1016	429
703	1018	428
704	1020	426
705	1021	425
706	1022	423
707	1024	422
708	1025	421
709	1027	419
710	1028	418
711	1029	416
712	1031	415
713	1032	413
714	1033	412
715	1035	410
716	1037	409
717	1038	407
718	1039	406
719	1041	404
720	1042	403
721	1043	401
722	1045	400
723	1046	398
724	1047	397
725	1048	395
726	1050	394
727	1051	392
728	1052	391
729	1054	389
730	1055	388
731	1056	386
732	1058	385
733	1059	383
734	1060	382
735	1061	380
736	1063	379
737	1065	378
738	1066	376
739	1067	375
740	1069	373
741	1071	372
742	1072	371
743	1073	369
744	1075	368
745	1076	366
746	1078	365
747	1079	363
748	1080	362
749	1081	360
750	1083	359
751	1084	357
752	1085	356
753	1087	354
754	1088	353
755	1089	351
756	1091	350
757	1092	348
758	1094	347
759	1095	345
760	1096	344
761	1098	343
762	1099	341
763	1100	340
764	1102	338
765	1103	337
766	1106	336
767	1107	334
768	1108	333
769	1110	331
770	1111	330
771	1113	328
772	1114	327
773	1115	325
774	1116	324
775	1118	322
776	1120	321
777	1121	320
778	1123	318
779	1124	317
780	1126	315
781	1128	314
782	1129	313
783	1131	311
784	1133	310
785	1134	308
786	1135	307
787	1137	305
788	1138	304
789	1139	303
790	1141	301
791	1142	300
792	1143	298
793	1144	297
794	1146	295
795	1147	294
796	1149	292
797	1150	291
798	1151	289
799	1153	288
800	1154	286
801	1155	285
802	1156	283
803	1158	282
804	1159	280
805	1160	279
806	1162	277
807	1163	276
808	1164	274
809	1166	273
810	1167	272
811	1168	270
812	1170	269
813	1171	267
814	1172	266
815	1173	264
816	1175	263
817	1176	261
818	1177	260
819	1179	258
820	1180	257
821	1181	255
822	1183	254
823	1184	253
824	1185	251
825	1187	250
826	1188	248
827	1189	247
828	1191	245
829	1192	244
830	1193	242
831	1195	241
832	1196	239
833	1198	238
834	1199	237
835	1201	235
836	1202	234
837	1203	232
838	1205	231
839	1206	229
840	1207	228
841	1209	226
842	1211	225
843	1212	224
844	1213	222
845	1215	221
846	1216	219
847	1217	218
848	1219	216
849	1221	215
850	1223	214
851	1224	212
852	1225	211
853	1226	209
854	1228	208
855	1230	206
856	1231	205
857	1232	204
858	1234	202
859	1235	201
860	1237	199
861	1238	198
862	1239	196
863	1241	195
864	1242	193
865	1243	192
866	1245	191
867	1246	189
868	1247	188
869	1249	186
870	1250	185
871	1251	183
872	1253	182
873	1254	180
874	1255	179
875	1257	177
876	1258	176
877	1260	175
878	1261	173
879	1263	172
880	1265	170
881	1266	169
882	1267	168
883	1269	166
884	1270	165
885	1271	163
886	1273	162
887	1274	160
888	1275	159
889	1277	157
890	1278	156
891	1279	154
892	1281	153
893	1282	152
894	1283	150
895	1284	149
896	1286	147
897	1287	146
898	1289	144
899	1290	143
900	1291	141
901	1292	140
902	1294	139
903	1295	137
904	1296	136
905	1298	134
906	1299	133
907	1300	131
908	1302	130
909	1303	128
910	1304	127
911	1305	125
912	1307	124
913	1308	123
914	1309	121
915	1310	120
916	1312	118
917	1313	117
918	1315	115
919	1317	114
920	1318	113
921	1319	111
922	1321	110
923	1322	108
924	1323	107
925	1325	105
926	1326	104
927	1327	103
928	1329	101
929	1330	100
930	1331	98
931	1333	97
932	1334	95
933	1335	94
934	1337	92
935	1338	91
936	1340	90
937	1341	88
938	1342	87
939	1344	85
940	1345	84
941	1346	82
942	1348	81
943	1349	80
944	1351	78
945	1352	77
946	1353	75
947	1355	74
948	1357	72
949	1358	71
950	1359	70
951	1361	68
952	1362	67
953	1363	65
954	1365	64
955	1366	62
956	1367	61
957	1369	60
958	1371	58
959	1372	57
960	1373	55
961	1375	54
962	1377	52
963	1378	51
964	1379	50
965	1381	48
966	1382	47
967	1383	45
968	1385	44
969	1386	42
970	1388	41
971	1389	40
972	1390	38
973	1392	37
974	1394	35
975	1395	34
976	1397	32
977	1398	31
978	1399	30
979	1401	28
980	1403	27
981	1404	25
982	1406	24
983	1407	22
984	1409	21
985	1410	20
986	1411	18
987	1413	17
988	1414	15
989	1415	14
990	1417	12
991	1418	11
992	1419	10
993	1421	8
994	1422	7
995	1424	5
996	1425	4
997	1426	2
998	1428	1
999	1429	0
